X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15
688232.SH,新点软件,,信息传输、软件和信息技术服务业,31.89578788,1.74,10.58942101,65.60288049,18.47844501,1.226669437,93.06763113,5.366669898,3.639016923,4.999938834,13.67837012,0
688233.SH,神工股份,,制造业,35.35737168,0.99,10.58708913,55.45911925,8.296984737,1.090476684,79.22157586,8.592886194,5.873689174,6.9818177,-28.37314509,0
688234.SH,天岳先进,,制造业,-414.2367378,-0.41,-4.670017607,-8.609583483,0,0,0,0,0,0,0,0
688235.SH,百济神州-U,,制造业,-12.18110442,-10.18,-38.83477466,79.14863772,0,0,0,0,0,0,0,0
688236.SH,春立医疗,,制造业,27.90454553,0.8,11.8609505,75.23738856,20.23795097,1.253729076,86.34011141,4.664430693,2.895112541,4.228399291,-4.5419896,0
688237.SH,超卓航科,,制造业,70.40027162,0.75,6.892616228,58.84498266,10.7030892,1.119859569,54.45770491,8.332362197,5.332128655,7.54945568,-16.46391047,0
688238.SH,和元生物,,科学研究和技术服务业,159.0308529,0.083,2.526832007,49.06070377,12.80602457,1.146868227,58.62193752,7.835508797,6.707376515,7.484331858,-28.07380873,0
688239.SH,航宇科技,,制造业,60.83137273,1.31,16.03779923,33.54708359,58.29291359,2.397674079,75.51161842,1.506581864,0.248071381,0.90222546,31.98966633,0
688244.SH,永信至诚,,信息传输、软件和信息技术服务业,42.11812042,1.38,6.609731057,59.19922027,0,0,0,0,0,0,0,0
688246.SH,嘉和美康,,信息传输、软件和信息技术服务业,54.83928139,0.47,3.630294385,52.56403346,0,0,0,0,0,0,0,0
688247.SH,宣泰医药,,制造业,53.8432219,0.22,9.874413905,75.56019517,0,0,0,0,0,0,0,0
688248.SH,南网科技,,科学研究和技术服务业,141.970936,0.36,8.194694524,31.40093296,29.94308955,1.427410934,94.03925323,3.247907049,2.315240902,2.859437548,43.82052286,0
688251.SH,井松智能,,制造业,19.06003982,1.36,14.09206126,27.94972282,40.02261505,1.667295099,97.59678421,2.036225361,0.763620668,1.646175795,3.771760007,0
688252.SH,天德钰,,信息传输、软件和信息技术服务业,28.59848075,0.35,9.633035375,35.83583743,12.07790681,1.137370556,99.15703429,6.959270026,5.696852717,6.374764332,-60.58989197,0
688253.SH,英诺特,,制造业,22.65708783,1.24,12.41469859,65.21732024,13.03619061,1.149903629,96.00149934,7.146950033,6.183605654,6.839291709,25.40255507,0
688255.SH,凯尔达,,制造业,42.31015635,0.48,3.357253279,18.58771312,0,0,0,0,0,0,0,0
688256.SH,寒武纪-U,,信息传输、软件和信息技术服务业,-19.17831775,-2.91,-21.48705745,64.32227547,0,0,0,0,0,0,0,0
688257.SH,新锐股份,,制造业,25.15771562,1.6186,7.413196164,30.58570391,0,0,0,0,0,0,0,0
688258.SH,卓易信息,,信息传输、软件和信息技术服务业,144.1745535,0.59,5.48731822,49.3643619,18.58996156,1.228349746,86.17945442,3.717317501,2.271019285,3.560923092,10.11671325,0
688259.SH,创耀科技,,信息传输、软件和信息技术服务业,66.89892598,1.16,10.79362939,27.77109488,32.39312646,1.479139543,99.61174461,2.347136117,1.176129106,2.164192697,15.67416751,0
688260.SH,昀冢科技,,制造业,59.98824873,-0.5676,-14.0869064,30.14085696,68.53554249,3.17818923,77.96803094,0.642947467,0.039966212,0.493156039,-1377.27735,0
688261.SH,东微半导,,制造业,62.82559513,4.31,16.72537873,32.6743382,3.141121112,1.032429873,86.39432117,35.79066365,30.77719381,33.58654868,93.56646633,0
688262.SH,国芯科技,,信息传输、软件和信息技术服务业,77.04552402,0.35,2.945231629,55.79179643,0,0,0,0,0,0,0,0
688265.SH,南模生物,,科学研究和技术服务业,127.6848706,-0.07,-0.328918194,45.93807386,0,0,0,0,0,0,0,0
688266.SH,泽璟制药-U,,制造业,-19.16978891,-1.91,-46.82030901,93.35356311,52.79739896,2.118527322,82.78439599,1.771503517,1.434450838,1.635765354,-5.185933231,0
688267.SH,中触媒,,制造业,62.66934804,0.9,8.734674198,41.30226179,0,0,0,0,0,0,0,0
688269.SH,凯立新材,,制造业,53.02889202,1.69,24.40639201,19.05259416,36.57910818,1.576767484,82.25016894,2.263641028,1.000500308,1.496891704,36.01933734,0
688270.SH,臻镭科技,,制造业,98.22277385,1.01,8.451922097,90.83337396,3.696572445,1.03838464,98.69057909,26.19472071,21.18063458,25.28818416,8.984779197,0
688271.SH,联影医疗,,制造业,94.39222193,2.16,14.52724823,46.17799828,0,0,0,0,0,0,0,0
688272.SH,富吉瑞,,制造业,-41.97204343,-1.13,-13.52629416,51.88233958,0,0,0,0,0,0,0,0
688273.SH,麦澜德,,制造业,23.46929427,1.48,14.34673574,68.36395741,0,0,0,0,0,0,0,0
