X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15
18,房地产业,19.3442,0.087504598,-0.53828046,34.9767,33.96739885,1.995166667,34.68559655,0.905643678,0.192041379,0.31747931,-9.214840476,21.5239
18,房地产业,39.1614,0.04,1.1926,52.0973,61.4317,2.5928,58.1971,1.4397,0.2705,0.3279,-23.9102,63.9606
15,制造业,63.6657,-0.44,-4.7701,36.2426,55.4646,2.2454,64.985,1.9599,0.6164,1.5879,-139.7625,37.27498061
16,制造业,-118.9438,-0.7499,-6.5877,13.3546,54.6582,2.2055,57.6831,1.2473,0.3551,0.8494,-226.6449,37.27498061
17,制造业,28.7294,0.46,10.8332,18.4233,43.8297,1.7803,84.1588,1.7999,0.4567,1.2786,1.6879,57.7835
17,制造业,10.7859,0.550152756,5.553029823,15.8164,25.26024636,1.136484055,39.8828814,1.056231693,0.437094488,0.814092126,0.924275773,37.27498061
16,批发和零售业,53.6684,0.1973,4.8048,60.4316,62.3998,2.6596,44.4225,0.4457,0.0854,0.2482,-20.4841,47.6678
16,信息传输、软件和信息技术服务业,158.0007,0.253428261,1.808236264,31.8433,25.67443152,1.210713043,47.00573587,1.151855435,0.508903261,0.98741413,-25.36979457,35.07653587
17,信息传输、软件和信息技术服务业,96.7782,0.0711,2.0327,73.4535,18.2323,1.223,83.1188,3.8747,1.133,1.5691,-25.7007,44.3901
19,信息传输、软件和信息技术服务业,45.3532,0.07,1.4922,28.6453,38.1969,1.618,89.5976,0.832,0.4284,0.7011,7.0667,52.7546
19,电力、热力、燃气及水生产和供应业,-13.2782,0.0683,1.6485,14.0532,72.6314,3.6538,36.6372,0.6556,0.1743,0.6265,203.2132,51.1681
18,信息传输、软件和信息技术服务业,45.8028,1.12,23.0578,34.1563,45.5595,1.8369,95.0827,1.8252,0.5818,1.4541,17.9453,49.7212
15,制造业,38.7431,0.550152756,5.553029823,22.3258,25.26024636,1.136484055,39.8828814,1.056231693,0.437094488,0.814092126,0.924275773,37.27498061
17,制造业,34.2641,0.34,9.5524,34.9376,35.6255,1.5534,81.5806,1.7882,1.1031,1.5337,14.4616,51.5341
