X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15
600292.SH,远达环保,18,水利、环境和公共设施管理业,323.4775,-0.0400,-0.5515,12.4783,46.8256,1.8806,72.9951,1.2168,0.1690,1.1383,-161.2968,80.1901
600295.SH,鄂尔多斯,18,制造业,4.4029,2.3700,24.2780,31.8782,45.9466,1.8500,75.7802,0.7561,0.3301,0.5010,-18.4889,49.1252
600297.SH,广汇汽车,18,批发和零售业,22.5192,-0.3300,-6.6130,9.0726,0,0,0,0,0,0,0,45.4582
600298.SH,安琪酵母,18,制造业,33.0857,1.5700,16.4010,24.3158,43.2424,1.7619,91.5862,0.9944,0.1925,0.5459,2.0723,53.1768
600307.SH,酒钢宏兴,18,制造业,-4.0983,0,0,3.4933,0,0,0,0,0,0,0,47.2340
600312.SH,平高电气,18,制造业,74.1285,0.1563,2.2983,17.5977,45.4290,1.8325,97.7705,1.5275,0.4411,1.3362,149.5423,44.7789
600316.SH,洪都航空,18,制造业,180.6698,0.1964,2.6732,3.2050,69.2491,3.2519,99.6557,1.2886,0.0525,0.9980,-6.7619,48.4641
600323.SH,瀚蓝环境,18,水利、环境和公共设施管理业,13.6523,1.4100,11.0290,19.2316,65.1544,2.8698,45.4924,0.6519,0.1122,0.6251,-0.8403,62.0226
600335.SH,国机汽车,18,批发和零售业,35.9470,0,0,8.0042,0,0,0,0,0,0,0,55.9473
600372.SH,中航电子,18,制造业,33.5227,0.4546,7.4451,29.6334,55.5523,2.2498,90.8250,1.5175,0.2226,1.0217,10.2946,48.7935
600380.SH,健康元,18,制造业,15.0466,0.7933,12.0487,64.0536,38.3692,1.6226,71.1575,2.3760,1.5292,2.1133,10.7640,49.8191
600388.SH,ST龙净,18,制造业,19.4970,0.7500,11.2661,24.4712,71.3201,3.4868,76.6084,1.2811,0.1654,0.7669,-7.1704,55.5684
600398.SH,海澜之家,18,制造业,10.4391,0,0,40.1768,0,0,0,0,0,0,0,-69.0474
600409.SH,三友化工,18,制造业,12.4156,0.4789,7.5812,19.5136,47.2024,1.8940,58.0325,1.3638,0.6400,1.1444,-28.3960,54.9377
600418.SH,江淮汽车,18,制造业,-36.8344,0,0,7.2007,0,0,0,0,0,0,0,41.6245
600438.SH,通威股份,18,制造业,7.2384,0,0,37.8735,0,0,0,0,0,0,0,104.1583
600458.SH,时代新材,18,制造业,30.4030,0.4400,6.8795,12.0912,63.3277,2.7269,76.4512,1.3920,0.2493,1.0795,15.0520,46.6265
600461.SH,洪城环境,18,电力、热力、燃气及水生产和供应业,9.5339,0.9000,14.5522,26.7041,61.2841,2.5829,56.8751,0.6521,0.3204,0.6073,-11.1066,56.7936
600475.SH,华光环能,18,水利、环境和公共设施管理业,11.6398,0,0,19.0391,0,0,0,0,0,0,0,85.0210
600480.SH,凌云股份,18,制造业,26.8740,0,0,14.3256,0,0,0,0,0,0,0,58.7472
600483.SH,福能股份,18,电力、热力、燃气及水生产和供应业,11.2671,1.3300,13.7674,20.6658,49.4615,1.9787,35.7623,1.1421,0.4628,1.0611,98.5720,55.5063
600487.SH,亨通光电,18,制造业,24.1199,0,0,15.7133,0,0,0,0,0,0,0,69.2944
600497.SH,驰宏锌锗,18,采矿业,28.7301,0.1315,4.5031,15.8573,35.2597,1.5446,48.4798,0.6607,0.2448,0.3387,10.3246,86.2367
600502.SH,安徽建工,18,建筑业,7.1211,0.8000,11.3848,11.3435,84.5821,6.4860,70.9773,1.1057,0.1661,0.9058,29.6672,47.3418
600508.SH,上海能源,18,采矿业,5.5351,2.4100,15.3682,36.0714,37.2423,1.5934,59.0775,1.1593,0.7487,1.0535,320.1519,45.8346
600510.SH,黑牡丹,18,房地产业,26.8259,0,0,18.2298,0,0,0,0,0,0,0,68.2844
600515.SH,海南机场,18,房地产业,31.7886,0.1625,8.8987,28.9526,57.5791,2.3573,34.1709,2.2039,0.8046,1.0457,339.7500,37.6356
